0.071429,0.28571,0.071429,0,0,0.071429,0.071429,0,0,0.28571,0,0,0.071429,0.28571,0.21429,0.14286,0.071429,0.071429,0,0,0,0,0,0.21429,0.14286,0.071429,0,0,0.21429,0.14286,0.071429,0.071429,0,0.071429,0,0,0,0,2,0,0,2,1,0,1,2,3,1,0,1,1,0,0,0,0,0,0,1
0.35294,0.29412,0.11765,0,0,0.058824,0.35294,0,0,0.29412,0,0.11765,0.35294,0.29412,0.23529,0.23529,0.058824,0.11765,0,0,0,0,0.058824,0.23529,0.23529,0.11765,0,0,0.23529,0.23529,0.058824,0.11765,0,0,0.058824,0,0,1,0,0,0,2,2,0,2,1,3,0,0,1,0,0,4,0,1,0,0,1
0,0.125,0.25,0,0,0,0.25,0,0,0.3125,0,0.1875,0,0.125,0.0625,0,0,0.0625,0.0625,0,0,0,0.1875,0.0625,0,0.0625,0,0,0.0625,0,0,0.25,0,0,0.1875,0,0,0,0,0,0,0,1,0,4,5,1,0,1,0,0,0,0,0,3,1,0,1
0.12,0.24,0.32,0.12,0,0.16,0.16,0.12,0,0.24,0,0.12,0.12,0.24,0.2,0,0,0.16,0,0.12,0,0.16,0,0.2,0,0.16,0.12,0.16,0.2,0,0.16,0.16,0,0,0,0.12,0,3,0,0,0,2,4,4,4,2,2,0,0,0,0,3,0,0,0,1,0,1
0.23077,0.38462,0.076923,0,0,0.076923,0.15385,0,0,0.38462,0,0.15385,0.23077,0.38462,0.38462,0.076923,0.076923,0.076923,0,0,0,0,0.076923,0.38462,0.076923,0.076923,0,0,0.38462,0.076923,0.076923,0.076923,0,0,0.076923,0,0,1,0,0,0,2,1,0,1,1,4,0,0,1,0,0,1,0,1,0,0,1
0.15385,0.30769,0,0,0.076923,0,0,0,0.076923,0.30769,0,0.15385,0.15385,0.30769,0.46154,0.076923,0,0,0,0,0,0,0,0.46154,0.076923,0,0,0,0.46154,0.076923,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,1,1
0.42857,0,0,0,0,0,0,0,0,0,0,0.42857,0.42857,0,0.42857,0,0,0,0,0,0,0,0,0.42857,0,0,0,0,0.42857,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,1
0,0.33333,0.16667,0,0,0.083333,0.083333,0,0,0.33333,0,0,0,0.33333,0.25,0,0,0.083333,0,0,0,0.083333,0,0.25,0,0.083333,0,0.083333,0.25,0,0.083333,0.083333,0,0.083333,0,0,0,0,0,0,0,0,1,1,1,4,3,1,0,0,0,0,0,0,0,1,0,1
0.225,0.2,0.1,0.075,0.05,0.075,0.075,0.125,0.05,0.075,0,0.225,0.225,0.2,0.225,0.25,0,0.15,0.025,0.075,0,0.125,0.05,0.225,0.25,0.15,0.075,0.125,0.225,0.25,0.075,0.025,0,0.05,0.05,0.075,0,7,6,1,0,1,6,3,1,1,2,0,1,0,0,3,2,2,2,0,2,1
0.3,0.15,0.05,0.05,0,0.15,0.1,0.1,0,0.1,0,0.1,0.3,0.15,0.15,0.15,0.15,0.1,0,0.05,0,0.05,0,0.15,0.15,0.1,0.05,0.05,0.15,0.15,0.15,0.05,0,0.05,0,0.05,0,2,2,0,0,1,2,0,1,4,1,0,0,3,0,1,1,1,0,1,0,1
0.26316,0.15789,0.26316,0,0,0.21053,0.15789,0,0,0.21053,0,0.26316,0.26316,0.15789,0.26316,0.052632,0.052632,0.052632,0.052632,0,0,0.15789,0.10526,0.26316,0.052632,0.052632,0,0.15789,0.26316,0.052632,0.21053,0.10526,0,0,0.10526,0,0,3,0,0,0,2,1,3,2,1,2,0,1,1,0,0,1,0,2,0,0,1
0.2,0.24,0.2,0,0,0.24,0.16,0,0,0.28,0,0.32,0.2,0.24,0.2,0.08,0.08,0.08,0,0,0.04,0.12,0.28,0.2,0.08,0.08,0.04,0.12,0.2,0.08,0.24,0.08,0,0,0.28,0,0,1,0,0,1,0,2,3,2,1,4,0,0,2,0,0,2,0,7,0,0,1
0.090909,0.22727,0.090909,0,0,0,0.090909,0,0,0.18182,0,0.13636,0.090909,0.22727,0.18182,0,0,0.13636,0,0,0,0,0.045455,0.18182,0,0.13636,0,0,0.18182,0,0,0.090909,0,0,0.045455,0,0,2,0,0,0,3,3,0,2,9,2,0,0,0,0,0,0,0,1,0,0,1
0.23333,0.1,0.13333,0.033333,0.033333,0.1,0.23333,0.066667,0.033333,0.16667,0,0.13333,0.23333,0.1,0.066667,0.33333,0.066667,0.1,0.033333,0.033333,0.033333,0.033333,0.066667,0.066667,0.33333,0.1,0.066667,0.033333,0.066667,0.33333,0.1,0.13333,0,0.033333,0.066667,0.033333,0,2,6,0,1,1,3,0,4,2,0,0,1,2,0,1,3,1,2,0,1,1
0.29167,0.16667,0.083333,0,0,0.083333,0.125,0,0,0.20833,0,0.25,0.29167,0.16667,0.29167,0.125,0.083333,0.041667,0.041667,0,0,0,0.083333,0.29167,0.125,0.041667,0,0,0.29167,0.125,0.083333,0.083333,0,0,0.083333,0,0,4,2,0,0,3,1,0,2,3,3,0,1,2,0,0,1,0,2,0,0,1
0.086957,0.30435,0.043478,0.043478,0.043478,0.086957,0,0.13043,0.043478,0.26087,0,0.17391,0.086957,0.30435,0.30435,0.043478,0,0.086957,0,0.043478,0.043478,0.13043,0.086957,0.30435,0.043478,0.086957,0.086957,0.13043,0.30435,0.043478,0.086957,0,0,0.086957,0.086957,0.043478,0,2,0,0,1,0,2,1,0,5,5,0,0,0,0,1,0,2,2,1,1,1
0.25,0.041667,0.16667,0.041667,0,0.083333,0.20833,0.125,0,0.20833,0,0.20833,0.25,0.041667,0.16667,0.125,0.083333,0,0,0.041667,0,0.083333,0.083333,0.16667,0.125,0,0.041667,0.083333,0.16667,0.125,0.083333,0.16667,0,0.125,0.083333,0.041667,0,3,2,0,0,2,0,0,4,3,1,1,0,2,0,1,1,2,2,0,0,1
